,id,host_location,host_response_rate,host_is_superhost,host_listings_count,host_has_profile_pic,neighbourhood,latitude,property_type,accommodates,bedrooms,amenities,minimum_nights,minimum_minimum_nights,minimum_maximum_nights,minimum_nights_avg_ntm,has_availability,availability_60,availability_365,number_of_reviews_ltm,first_review,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,290701,"Amsterdam, Netherlands",100%,t,2,t,"Amsterdam, North Holland, Netherlands",52.37561,Private room in home,2,1.0,"[""First aid kit"", ""Shower gel"", ""Carbon monoxide alarm"", ""Hangers"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Dining table"", ""One small fridge  refrigerator"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Portable fans"", ""Smoke alarm"", ""Shampoo"", ""Waterfront"", ""Wine glasses"", ""Coffee"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Dishes and silverware"", ""Canal view"", ""Hair dryer"", ""Bed linens"", ""Host greets you"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Books and reading material"", ""Wifi"", ""Hot water"", ""Safe"", ""Private entrance"", ""Room-darkening shades"", ""Heating"", ""Hot water kettle""]",3,1.0,1125.0,3.0,t,11,207,38,2012-02-20,t,0,0
703,4591819,Netherlands,100%,t,1,t,"Amsterdam, North Holland, Netherlands",52.35269,Private room in home,2,1.0,"[""First aid kit"", ""Shower gel"", ""Carbon monoxide alarm"", ""Hangers"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Iron"", ""Essentials"", ""Portable fans"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Unicura or dettol body soap"", ""Dishes and silverware"", ""Hair dryer"", ""Bed linens"", ""Mini fridge"", ""Wifi"", ""Hot water"", ""Heating"", ""Coffee maker: pour-over coffee""]",3,2.0,1125.0,3.0,t,44,139,36,2015-01-02,f,0,0
4144,45052408,"Amsterdam, Netherlands",96%,t,4,t,"Amsterdam, Noord-Holland, Netherlands",52.3558,Room in boutique hotel,2,1.0,"[""Hangers"", ""Bathtub"", ""TV"", ""Shower gel"", ""Wifi"", ""Dedicated workspace"", ""Safe"", ""Coffee maker"", ""Hair dryer"", ""Heating"", ""Essentials"", ""Smoke alarm"", ""Hot water kettle"", ""Shampoo""]",1,1.0,999.0,1.3,t,23,230,0,2020-08-24,t,0,0
